iter	RMSE
0	2.430041289
1	2.427334319
2	2.424966298
3	2.422876391
4	2.421433613
5	2.419580821
6	2.418266117
7	2.417118712
8	2.416113979
9	2.415161089
10	2.413440326
11	2.412646371
12	2.411891726
13	2.410581546
14	2.409915061
15	2.409292724
16	2.40865721
17	2.407725933
18	2.407350661
19	2.406552778
20	2.405943414
21	2.40529277
22	2.404198977
23	2.403728491
24	2.403450433
25	2.403043636
26	2.402494575
27	2.402208153
28	2.401720908
29	2.400916248
30	2.400132669
31	2.399818725
32	2.399584955
33	2.399307854
34	2.398860015
35	2.398546223
36	2.397972978
37	2.397719912
38	2.397252618
39	2.397003626
40	2.396514899
41	2.396216854
42	2.396039954
43	2.395767981
44	2.395589592
45	2.395162994
46	2.394910628
47	2.394611824
48	2.394383146
49	2.394089334
50	2.393881845
51	2.393730554
52	2.393292962
53	2.393128449
54	2.392893122
55	2.392756142
56	2.39264447
57	2.39245197
58	2.392333314
59	2.392145617
60	2.391864593
61	2.391735167
62	2.391615511
63	2.391420166
64	2.391055471
65	2.390853392
66	2.390673776
67	2.390534011
68	2.39039944
69	2.390251801
70	2.390117979
71	2.390018822
72	2.389887464
73	2.389646446
74	2.389491118
75	2.389401093
76	2.389263879
77	2.389092301
78	2.388784464
79	2.388374509
80	2.388288555
81	2.388139214
82	2.387994799
83	2.387865868
84	2.387769115
85	2.387620056
86	2.387514743
87	2.387408046
88	2.387348899
89	2.387282154
90	2.387162504
91	2.386828531
92	2.386606456
93	2.386456995
94	2.386386356
95	2.386087716
96	2.385973385
97	2.385836101
98	2.385748568
99	2.385642203
100	2.385520757
101	2.3852559
102	2.385167098
103	2.385092176
104	2.385020876
105	2.384772554
106	2.384537835
107	2.38432833
108	2.38419067
109	2.384060968
110	2.383905144
111	2.383820139
112	2.383717791
113	2.383632633
114	2.383530135
115	2.383401646
116	2.383166769
117	2.383100087
118	2.383043138
119	2.382954243
120	2.382766092
121	2.382670753
122	2.382560418
123	2.382425267
124	2.382317093
125	2.38221782
126	2.382099751
127	2.38197031
128	2.381835998
129	2.38173869
130	2.381612758
131	2.381522776
132	2.381442495
133	2.38128395
134	2.381143774
135	2.381095382
136	2.380932057
137	2.380828238
138	2.38071773
139	2.380554453
140	2.38035741
141	2.380143903
142	2.380014377
143	2.379922858
144	2.37973161
145	2.379570875
146	2.379469906
147	2.379361411
148	2.37923963
149	2.379123917
150	2.378911886
151	2.378745838
152	2.378638795
153	2.378548384
154	2.378422566
155	2.378132742
156	2.377974606
157	2.377862848
158	2.377757516
159	2.37765498
160	2.377578442
161	2.377445832
162	2.377368509
163	2.37718674
164	2.377042921
165	2.376945289
166	2.376869848
167	2.376718851
168	2.376553281
169	2.376496063
170	2.376410142
171	2.376309972
172	2.376191998
173	2.376071904
174	2.375907671
175	2.375762485
176	2.375666261
177	2.375544483
178	2.375499544
179	2.375420458
180	2.37534852
181	2.37526331
182	2.375159928
183	2.375041447
184	2.374947094
185	2.374795361
186	2.374692725
187	2.374561105
188	2.374444662
189	2.374362901
190	2.374228811
191	2.374156398
192	2.373938492
193	2.37384039
194	2.373736426
195	2.373630872
196	2.373562797
197	2.373480214
198	2.373404518
199	2.373322778
200	2.373227356
201	2.373092502
202	2.372990191
203	2.372907131
204	2.372799584
205	2.372707964
206	2.372630407
207	2.372584985
208	2.37252502
209	2.372465242
210	2.372361868
211	2.372281114
212	2.372189181
213	2.372104029
214	2.371968933
215	2.371894366
216	2.371811182
217	2.371730414
218	2.371661078
219	2.371583441
220	2.371515352
221	2.371445361
222	2.371305198
223	2.371228282
224	2.371155705
225	2.371084184
226	2.37102806
227	2.370881356
228	2.370809214
229	2.370733862
230	2.370629917
231	2.370520079
232	2.37045274
233	2.370283193
234	2.370184467
235	2.370124849
236	2.370063457
237	2.369939286
238	2.36989309
239	2.369803019
240	2.369691552
241	2.369635839
242	2.369580374
243	2.369524271
244	2.369474203
245	2.369383308
246	2.369297012
247	2.369246505
248	2.369146863
249	2.369095031
250	2.369040676
251	2.368969495
252	2.368896743
253	2.368805314
254	2.368763975
255	2.368669579
256	2.368623729
257	2.368577805
258	2.368503331
259	2.368429369
260	2.368378296
261	2.368292252
262	2.368237913
263	2.368175162
264	2.368067529
265	2.368006053
266	2.367931872
267	2.367835767
268	2.367737788
269	2.367665644
270	2.367598291
271	2.367535719
272	2.367493626
273	2.367409549
274	2.36733645
275	2.367296349
276	2.367217558
277	2.367143359
278	2.367107758
279	2.367031719
280	2.366974535
281	2.36685974
282	2.366751884
283	2.366656703
