iter	Passed	Remaining
0	13	13314
1	26	13059
2	38	12701
3	51	12752
4	63	12602
5	76	12601
6	88	12520
7	100	12460
8	113	12518
9	126	12554
10	138	12490
11	151	12460
12	163	12385
13	174	12316
14	187	12305
15	199	12261
16	213	12320
17	226	12336
18	237	12272
19	249	12221
20	261	12202
21	273	12165
22	285	12127
23	296	12073
24	308	12041
25	320	11999
26	331	11963
27	343	11940
28	355	11919
29	368	11899
30	380	11878
31	391	11846
32	403	11810
33	416	11830
34	428	11811
35	440	11801
36	452	11774
37	463	11738
38	475	11711
39	486	11679
40	497	11643
41	510	11634
42	521	11610
43	532	11576
44	545	11575
45	556	11550
46	569	11544
47	580	11517
48	592	11505
49	605	11503
50	617	11491
51	629	11474
52	640	11447
53	652	11429
54	663	11402
55	675	11389
56	686	11363
57	698	11338
58	710	11337
59	722	11316
60	733	11290
61	744	11270
62	756	11252
63	767	11228
64	779	11210
65	790	11185
66	801	11163
67	813	11143
68	825	11144
69	837	11131
70	849	11120
71	861	11104
72	872	11078
73	883	11052
74	895	11044
75	906	11026
76	917	11000
77	929	10988
78	940	10966
79	951	10946
80	963	10932
81	974	10912
82	986	10894
83	996	10870
84	1008	10856
85	1019	10838
86	1032	10830
87	1042	10809
88	1053	10788
89	1065	10772
90	1076	10755
91	1087	10734
92	1098	10717
93	1110	10702
94	1122	10692
95	1133	10674
96	1144	10659
97	1156	10648
98	1168	10635
99	1180	10623
100	1191	10605
101	1202	10590
102	1214	10573
103	1225	10556
104	1238	10556
105	1250	10543
106	1261	10532
107	1273	10516
108	1284	10500
109	1296	10487
110	1307	10474
111	1319	10459
112	1330	10445
113	1341	10427
114	1353	10413
115	1364	10398
116	1375	10382
117	1386	10367
118	1398	10354
119	1410	10344
120	1422	10334
121	1433	10319
122	1447	10317
123	1458	10304
124	1469	10288
125	1481	10273
126	1492	10256
127	1503	10244
128	1515	10233
129	1527	10219
130	1537	10202
131	1549	10187
132	1560	10174
133	1572	10160
134	1583	10148
135	1596	10140
136	1606	10122
137	1618	10107
138	1630	10099
139	1642	10088
140	1655	10088
141	1667	10077
142	1680	10071
143	1691	10055
144	1702	10039
145	1714	10027
146	1725	10014
147	1737	10000
148	1748	9988
149	1760	9973
150	1771	9962
151	1782	9947
152	1794	9933
153	1805	9920
154	1817	9906
155	1828	9890
156	1840	9881
157	1851	9868
158	1864	9864
159	1877	9855
160	1889	9847
161	1901	9835
162	1913	9827
163	1925	9815
164	1937	9805
165	1950	9801
166	1962	9791
167	1975	9783
168	1987	9770
169	1998	9757
170	2010	9746
171	2022	9735
172	2034	9724
173	2046	9714
174	2059	9706
175	2072	9702
176	2085	9697
177	2097	9685
178	2108	9670
179	2119	9655
180	2131	9642
181	2143	9632
182	2154	9617
183	2165	9603
184	2176	9588
185	2187	9573
186	2199	9563
187	2211	9552
188	2222	9538
189	2234	9525
190	2245	9511
191	2257	9499
192	2268	9486
193	2280	9473
194	2291	9458
195	2302	9444
196	2314	9432
197	2325	9419
198	2336	9406
199	2348	9393
200	2359	9380
201	2370	9365
202	2382	9353
203	2394	9341
204	2405	9330
205	2417	9317
206	2429	9307
207	2441	9296
208	2452	9283
209	2463	9268
210	2477	9263
211	2489	9252
212	2500	9239
213	2512	9227
214	2523	9214
215	2535	9203
216	2546	9190
217	2558	9177
218	2571	9169
219	2582	9155
220	2593	9141
221	2604	9128
222	2616	9115
223	2627	9102
224	2640	9094
225	2653	9087
226	2665	9076
227	2680	9075
228	2691	9061
229	2702	9048
230	2714	9035
231	2725	9021
232	2737	9010
233	2748	8996
234	2760	8986
235	2772	8974
236	2783	8961
237	2796	8951
238	2807	8940
239	2820	8932
240	2834	8925
241	2846	8915
242	2857	8901
243	2868	8888
244	2882	8884
245	2894	8871
246	2905	8858
247	2916	8843
248	2927	8830
249	2938	8816
250	2949	8802
251	2960	8788
252	2971	8773
253	2982	8760
254	2994	8747
255	3004	8732
256	3015	8718
257	3027	8706
258	3038	8694
259	3050	8682
260	3062	8670
261	3073	8657
262	3086	8650
263	3098	8637
264	3109	8624
265	3121	8613
266	3132	8600
267	3144	8588
268	3154	8573
269	3166	8560
270	3177	8548
271	3190	8538
272	3202	8527
273	3213	8515
274	3225	8502
275	3236	8489
276	3248	8477
277	3260	8466
278	3271	8453
279	3282	8441
280	3294	8430
281	3307	8420
282	3319	8410
283	3330	8396
284	3341	8384
285	3353	8370
286	3364	8358
287	3376	8346
288	3387	8334
289	3399	8323
290	3410	8310
291	3422	8299
292	3433	8285
293	3444	8271
294	3455	8259
295	3467	8247
296	3479	8235
297	3490	8221
298	3502	8212
299	3515	8202
300	3526	8189
301	3537	8175
302	3547	8161
303	3558	8147
304	3570	8135
305	3580	8120
306	3592	8108
307	3602	8094
308	3614	8082
309	3625	8069
310	3638	8059
311	3649	8046
312	3660	8033
313	3671	8020
314	3682	8007
315	3693	7995
316	3705	7983
317	3716	7969
318	3726	7955
319	3737	7942
320	3749	7930
321	3761	7921
322	3773	7908
