user_id,age,location_country,count
8,,canada,7
11400,49.0,canada,12
11676,,empty,5520
67544,30.0,canada,7
85526,36.0,canada,120
96054,29.0,canada,16
116866,,canada,49
123629,,canada,1
177458,29.0,canada,417
200273,,canada,1
210926,,canada,5
219008,60.0,canada,26
263325,27.0,canada,40
2954,71.0,usa,11
152827,40.0,canada,5
35704,53.0,usa,36
83160,65.0,usa,3
110912,36.0,usa,89
137688,46.0,usa,63
157969,30.0,usa,2
192665,47.0,usa,6
197659,49.0,usa,637
208059,,usa,7
209163,,usa,12
29526,26.0,usa,78
36836,56.0,usa,102
46398,37.0,usa,262
49300,,usa,7
49635,,usa,4
67958,39.0,usa,11
113270,25.0,usa,85
113519,,usa,108
115097,27.0,usa,8
136509,31.0,usa,1
148712,,usa,30
178269,,usa,4
180297,41.0,usa,3
188589,20.0,malaysia,9
194722,,usa,2
198013,,usa,1
200674,58.0,usa,27
207148,42.0,usa,25
211919,38.0,usa,84
212449,,usa,1
213191,,usa,7
230522,52.0,usa,256
236322,,usa,11
238557,21.0,malaysia,38
242247,42.0,usa,5
245827,,usa,161
252282,42.0,usa,4
252921,22.0,usa,1
255661,34.0,usa,6
52614,33.0,usa,116
225910,19.0,usa,15
274634,33.0,usa,28
98499,,canada,1
166596,57.0,canada,90
189238,,newzealand,1
223066,51.0,canada,12
92861,,canada,45
3363,29.0,usa,75
61501,,canada,1
148514,,usa,9
174304,26.0,usa,189
177090,37.0,usa,33
256233,,usa,1
176875,31.0,finland,20
213915,29.0,united kingdom,13
35826,,usa,8
226745,38.0,usa,32
9,,usa,1
243,,usa,17
388,35.0,usa,12
2977,25.0,usa,45
3329,,usa,10
6795,31.0,usa,1
7346,49.0,usa,244
7352,53.0,usa,10
9419,,usa,3
9747,,usa,24
9856,22.0,usa,46
11224,51.0,usa,29
12685,,usa,4
13552,32.0,usa,176
13582,29.0,portugal,55
14521,,usa,47
16666,,usa,4
16795,47.0,usa,760
17761,,usa,14
19445,,usa,2
20435,62.0,usa,1
20462,,usa,21
20801,29.0,brazil,3
20916,,usa,7
21264,31.0,usa,4
23511,56.0,usa,26
23768,45.0,usa,168
26240,,usa,31
26544,37.0,usa,90
26593,,usa,65
27684,,usa,3
28123,,usa,3
28619,,usa,30
29654,42.0,germany,4
30487,40.0,usa,66
30533,,usa,74
31299,74.0,usa,3
31315,34.0,usa,264
31556,51.0,usa,243
31560,,usa,1
31694,,usa,1
32516,44.0,usa,14
35857,36.0,usa,106
35859,,usa,614
36606,39.0,usa,162
37874,43.0,usa,23
38718,,usa,10
38991,68.0,usa,3
39345,47.0,usa,30
39646,35.0,usa,22
40889,37.0,usa,99
41781,54.0,usa,34
44663,,malaysia,10
45585,,usa,2
