,user_id,isbn,rating
0,11676,0002005018,8.0
1,116866,0002005018,9.0
10,7352,0440234743,8.0
12,13552,0440234743,8.0
15,64535,0440234743,7.0
16,70666,0440234743,7.0
17,75819,0440234743,7.0
18,79740,0440234743,7.0
19,85534,0440234743,7.0
20,100393,0440234743,5.0
21,108143,0440234743,9.0
27,134863,0440234743,8.0
29,143939,0440234743,9.0
30,144062,0440234743,10.0
32,154730,0440234743,7.0
33,165884,0440234743,7.0
36,217516,0440234743,8.0
37,227392,0440234743,7.0
38,240567,0440234743,5.0
39,245616,0440234743,10.0
40,250101,0440234743,9.0
41,258884,0440234743,5.0
42,259223,0440234743,8.0
43,273979,0440234743,9.0
44,6242,0452264464,5.0
45,8570,0452264464,8.0
47,11676,0452264464,8.0
49,36907,0452264464,10.0
50,80837,0452264464,5.0
51,102359,0452264464,10.0
53,165319,0452264464,5.0
54,174633,0452264464,9.0
55,221232,0452264464,10.0
57,271135,0452264464,10.0
58,271144,0452264464,5.0
59,11676,0609804618,7.0
60,79089,0609804618,6.0
61,271622,0609804618,9.0
62,141518,1841721522,10.0
63,157118,1841721522,8.0
182,28731,0345402871,7.0
184,37511,0345402871,10.0
185,41084,0345402871,7.0
186,55892,0345402871,7.0
188,86680,0345402871,6.0
189,107244,0345402871,8.0
190,170154,0345402871,7.0
191,204591,0345402871,7.0
193,234672,0345402871,4.0
194,236235,0345402871,10.0
197,1848,0345417623,8.0
199,16551,0345417623,8.0
200,19085,0345417623,8.0
201,30594,0345417623,10.0
202,32188,0345417623,8.0
203,58351,0345417623,5.0
204,61935,0345417623,8.0
205,67236,0345417623,10.0
206,80538,0345417623,8.0
209,106007,0345417623,9.0
210,110700,0345417623,9.0
211,115435,0345417623,7.0
213,132392,0345417623,7.0
215,135149,0345417623,8.0
217,161385,0345417623,10.0
218,165253,0345417623,9.0
219,179843,0345417623,10.0
221,191049,0345417623,6.0
222,192479,0345417623,10.0
224,210035,0345417623,9.0
225,225989,0345417623,9.0
227,231518,0345417623,8.0
228,234879,0345417623,3.0
229,235498,0345417623,10.0
231,248468,0345417623,9.0
232,249058,0345417623,10.0
234,266678,0345417623,8.0
235,266819,0345417623,5.0
237,31040,0312978383,9.0
238,61901,0312978383,9.0
239,135317,0312978383,7.0
240,135965,0312978383,9.0
241,147978,0312978383,8.0
242,17,0425099148,7.0
243,180975,0553264990,9.0
244,25981,0553278398,5.0
245,37168,0553278398,10.0
246,234672,0553278398,10.0
247,98930,0684823802,7.0
248,17,0891075275,6.0
249,141493,0891075275,10.0
250,162639,0891075275,10.0
252,136255,0891076182,7.0
254,161903,0891076182,7.0
257,101606,0425163091,6.0
259,237856,0375406328,8.0
260,2766,0446310786,10.0
261,8253,0446310786,10.0
262,13850,0446310786,9.0
263,17950,0446310786,8.0
264,45340,0446310786,10.0
265,46443,0446310786,9.0
267,55187,0446310786,10.0
268,57398,0446310786,8.0
269,59038,0446310786,10.0
270,63545,0446310786,10.0
272,89874,0446310786,9.0
273,98440,0446310786,10.0
274,98468,0446310786,9.0
276,104657,0446310786,9.0
277,117577,0446310786,10.0
280,138543,0446310786,10.0
283,168047,0446310786,10.0
285,181176,0446310786,8.0
286,184299,0446310786,9.0
287,192353,0446310786,10.0
290,209160,0446310786,9.0
291,209516,0446310786,10.0
294,226847,0446310786,7.0
295,234205,0446310786,10.0
297,236058,0446310786,9.0
298,240567,0446310786,8.0
299,246759,0446310786,8.0
300,251422,0446310786,10.0
301,251844,0446310786,10.0
302,261611,0446310786,10.0
332,105904,0061099686,6.0
333,142579,0061099686,6.0
334,47316,0553582909,9.0
336,22045,0671888587,7.0
337,25981,0671888587,5.0
339,59269,0671888587,10.0
341,173481,0671888587,7.0
342,264031,0671888587,10.0
343,264082,0671888587,8.0
344,39662,0553582747,8.0
346,90657,0553582747,5.0
347,106849,0553582747,10.0
348,108405,0553582747,9.0
349,110973,0553582747,7.0
350,128732,0553582747,9.0
351,165267,0553582747,9.0
352,170997,0553582747,9.0
353,171968,0553582747,10.0
354,218836,0553582747,8.0
355,232736,0553582747,9.0
356,241666,0553582747,6.0
379,91103,0440223571,5.0
380,94385,0440223571,5.0
381,101422,0440223571,7.0
382,240144,0440223571,10.0
383,35859,0842342702,10.0
384,67627,0842342702,10.0
385,68984,0842342702,10.0
388,246230,0842342702,7.0
389,251003,0842342702,10.0
393,6866,0440225701,7.0
394,32036,0440225701,6.0
397,43619,0440225701,9.0
398,56307,0440225701,9.0
399,84882,0440225701,6.0
400,119631,0440225701,7.0
401,130658,0440225701,3.0
402,134247,0440225701,8.0
403,137589,0440225701,7.0
404,159506,0440225701,8.0
405,174726,0440225701,8.0
407,209373,0440225701,8.0
409,227705,0440225701,7.0
410,229011,0440225701,7.0
411,231251,0440225701,8.0
413,232945,0440225701,8.0
414,233526,0440225701,8.0
415,236172,0440225701,10.0
417,277922,0440225701,6.0
421,209229,0380715899,5.0
427,58252,0679810307,9.0
442,7958,0804106304,10.0
443,11657,0804106304,7.0
444,25966,0804106304,8.0
445,28204,0804106304,9.0
446,30806,0804106304,8.0
447,36677,0804106304,5.0
448,36907,0804106304,8.0
449,45557,0804106304,9.0
450,49980,0804106304,10.0
451,60707,0804106304,7.0
452,68721,0804106304,9.0
454,96357,0804106304,9.0
455,106946,0804106304,9.0
456,122793,0804106304,9.0
458,144555,0804106304,9.0
460,158559,0804106304,9.0
461,168804,0804106304,10.0
463,203213,0804106304,7.0
464,212789,0804106304,5.0
466,227422,0804106304,10.0
467,229313,0804106304,9.0
468,233889,0804106304,8.0
471,250353,0804106304,8.0
472,258270,0804106304,10.0
473,264152,0804106304,8.0
474,269566,0804106304,8.0
475,270713,0804106304,8.0
476,274325,0804106304,9.0
478,118135,1853260053,8.0
479,222716,1853260053,8.0
482,7082,0140067477,8.0
483,9660,0140067477,10.0
484,11676,0140067477,8.0
485,32773,0140067477,8.0
486,43157,0140067477,8.0
488,74833,0140067477,8.0
489,89851,0140067477,8.0
490,101731,0140067477,8.0
492,139387,0140067477,10.0
493,144120,0140067477,8.0
494,169979,0140067477,8.0
495,180865,0140067477,5.0
496,182442,0140067477,2.0
497,197727,0140067477,8.0
498,226965,0140067477,10.0
499,231393,0140067477,9.0
501,275276,0140067477,8.0
514,11676,1558531025,10.0
515,39281,1558531025,10.0
516,53575,1558531025,6.0
518,108379,1558531025,8.0
519,128406,1558531025,4.0
520,132851,1558531025,8.0
521,225087,1558531025,10.0
524,53174,0441783589,8.0
525,62958,0441783589,10.0
526,79441,0441783589,8.0
528,207494,0441783589,5.0
529,12538,0394895894,7.0
532,16090,0375410538,5.0
536,244964,0340767936,8.0
540,7651,0316769487,3.0
542,13850,0316769487,9.0
543,17183,0316769487,6.0
546,29570,0316769487,10.0
548,56856,0316769487,9.0
549,61854,0316769487,6.0
550,62172,0316769487,6.0
551,67487,0316769487,2.0
552,74286,0316769487,7.0
554,102262,0316769487,9.0
555,108352,0316769487,10.0
556,109779,0316769487,9.0
558,113030,0316769487,9.0
560,123936,0316769487,7.0
562,139287,0316769487,9.0
563,141511,0316769487,1.0
564,142623,0316769487,8.0
565,174503,0316769487,8.0
567,186570,0316769487,2.0
568,189080,0316769487,4.0
572,200226,0316769487,8.0
573,204864,0316769487,10.0
574,211303,0316769487,3.0
575,215829,0316769487,9.0
576,217012,0316769487,9.0
577,219209,0316769487,5.0
578,228021,0316769487,10.0
579,240643,0316769487,8.0
580,242309,0316769487,9.0
581,244359,0316769487,7.0
582,247855,0316769487,9.0
584,257145,0316769487,8.0
585,268300,0316769487,9.0
586,276165,0316769487,10.0
591,136905,8445071777,10.0
592,194864,8445071777,8.0
593,6575,0679429220,6.0
594,12154,0679429220,7.0
595,22888,0679429220,10.0
596,41084,0679429220,8.0
599,88412,0679429220,9.0
602,112001,0679429220,10.0
603,113904,0679429220,7.0
605,124717,0679429220,10.0
606,168387,0679429220,8.0
607,169465,0679429220,7.0
608,185176,0679429220,8.0
609,198996,0679429220,9.0
612,241548,0679429220,9.0
613,251522,0679429220,9.0
