year_of_publication,category,rating
1378.0,['Fantasy fiction'],10.0
1911.0,['Religion'],4.0
1920.0,['Elephants'],10.0
1920.0,['Folklore'],6.0
1920.0,['France'],8.5
1920.0,['United States'],9.0
1923.0,['Behavior'],7.0
1923.0,['Friendship'],5.0
1923.0,['Juvenile Fiction'],6.333333333333333
1924.0,['Science'],8.0
1925.0,['Fiction'],5.333333333333333
1926.0,['American fiction'],8.5
1928.0,['England'],4.0
1929.0,['Fiction'],8.666666666666666
1930.0,['Hardy Boys (Fictitious characters)'],3.6666666666666665
1930.0,['Juvenile Fiction'],7.5
1931.0,['Drama'],6.0
1932.0,['Juvenile Fiction'],6.25
1932.0,['Political Science'],9.0
1935.0,['Religion'],1.0
1936.0,['American drama'],2.0
1936.0,['Fiction'],9.0
1936.0,['Juvenile Fiction'],10.0
1937.0,['Juvenile Fiction'],4.0
1938.0,['Audiocassettes'],9.0
1938.0,['Fiction'],8.0
1938.0,['Juvenile Fiction'],9.4
1938.0,['Performing Arts'],9.0
1939.0,['American fiction (Fictional works by one author).'],2.0
1939.0,['Juvenile Fiction'],8.0
1940.0,['Adventure and adventurers'],9.5
1940.0,['Art'],10.0
1940.0,['Fairy tales'],8.0
1940.0,['Fiction'],2.0
1940.0,['Twins'],10.0
1941.0,['Curiosity'],8.0
1941.0,['Juvenile Fiction'],9.0
1942.0,['History'],6.0
1942.0,['Juvenile Fiction'],8.0
1943.0,['Germany'],6.0
1943.0,['Juvenile Fiction'],8.333333333333334
1944.0,['Fiction'],3.0
1945.0,['Juvenile Fiction'],9.5
1946.0,['Adolescence'],10.0
1946.0,['Adventure stories'],8.0
1946.0,"['Christian fiction, American']",4.0
1946.0,['Juvenile Fiction'],7.666666666666667
1947.0,['Juvenile Fiction'],8.5
1949.0,['American poetry'],8.0
1949.0,['Juvenile Fiction'],7.5
1949.0,['Religion'],7.0
1950.0,['Adventure stories'],8.0
1950.0,['Africa'],4.0
1950.0,['Alphabet'],10.0
1950.0,['Drama'],7.0
1950.0,['Fiction'],9.75
1950.0,['Philosophy'],9.0
1950.0,['Switzerland'],7.5
1951.0,['Classical literature'],2.0
1951.0,['Fiction'],7.666666666666667
1951.0,['Foreign Language Study'],9.0
1951.0,['Juvenile Fiction'],7.0
1951.0,['Philosophy'],8.5
1952.0,['Fiction'],7.0
1952.0,['Foreign Language Study'],6.0
1952.0,['History'],9.0
1952.0,['Juvenile Fiction'],9.0
1952.0,['Oxford (England)'],7.0
1953.0,['Animals'],7.0
1953.0,['Biography & Autobiography'],8.0
1953.0,['Brothers and sisters'],8.0
1953.0,['Drama'],6.75
1953.0,['Families'],2.0
1953.0,['Fiction'],5.0
1953.0,['France'],5.0
1953.0,['Juvenile Fiction'],8.096491228070175
1953.0,['Language Arts & Disciplines'],2.0
1954.0,['African American women cooks'],8.8
1954.0,['Biography & Autobiography'],7.0
1954.0,['Coal miner'],8.666666666666666
1954.0,['Drama'],10.0
1954.0,['Fiction'],2.0
1954.0,['Games'],4.5
1954.0,['History'],5.5
1954.0,['Juvenile Fiction'],10.0
1955.0,['Acting'],7.0
1955.0,['Aids to navigation'],8.0
1955.0,['Biography & Autobiography'],8.0
1955.0,"['Cookery, Japanese']",6.0
1955.0,['Drama'],3.0
1955.0,"['Fables, Latin']",4.5
1955.0,['Fiction'],7.0
1955.0,['Juvenile Fiction'],8.0
1955.0,['Medical'],7.0
1955.0,['Philosophy'],10.0
1955.0,['Poetry'],7.25
1955.0,['Religion'],10.0
1955.0,['Science'],10.0
1956.0,"['Aesthetics, Modern']",8.0
1956.0,['Animals-Cats'],6.0
1956.0,['Architecture'],3.0
1956.0,['Domestic animals'],8.0
1956.0,['Fiction'],6.75
1956.0,['Juvenile Fiction'],8.0
1956.0,['Liberty'],2.0
1956.0,['Literary Criticism'],8.0
1956.0,['Philosophy'],10.0
1956.0,['Poetry'],5.5
1956.0,['Teenagers'],8.0
1957.0,['Castaways'],10.0
1957.0,['Fiction'],6.0
1957.0,['Juvenile Fiction'],9.424242424242424
1957.0,['Literary Criticism'],10.0
1957.0,['Nature'],7.333333333333333
1957.0,['Performing Arts'],10.0
1957.0,['Philosophy'],8.0
1957.0,['Poetry'],6.6
1957.0,['Science'],8.333333333333334
1958.0,['American fiction'],9.0
1958.0,['Amsterdam (Netherlands)'],9.0
1958.0,"['Authors, German']",7.0
1958.0,['China'],9.5
1958.0,['Economics'],4.0
1958.0,['Fiction'],7.666666666666667
1958.0,['Greek poetry'],1.0
1958.0,['Inheritance and succession'],4.0
1958.0,['Juvenile Fiction'],8.214285714285714
1958.0,['Literary Collections'],9.0
1958.0,['Social Science'],10.0
1959.0,"[""Children's art""]",3.0
1959.0,['Achievement motivation'],8.0
1959.0,['Adultery'],2.0
1959.0,['Deafblind people'],8.0
1959.0,['Drama'],6.333333333333333
1959.0,['Experimental fiction'],6.0
1959.0,['Father and child'],8.0
1959.0,['Fiction'],7.575757575757576
1959.0,['Foreign Language Study'],10.0
1959.0,['History'],9.0
1959.0,['Humor'],8.5
1959.0,['Juvenile Fiction'],7.666666666666667
1959.0,"['Knowledge, Theory of']",10.0
1959.0,['Literary Collections'],9.0
1959.0,['Literary Criticism'],6.0
1959.0,"['Mythology, Greek']",8.0
1959.0,['Philosophy'],10.0
1959.0,['Poetry'],8.272727272727273
1959.0,['Psychology'],9.5
1959.0,['Religion'],8.0
1959.0,['Science'],9.0
1960.0,"[""Children's literature""]",10.0
1960.0,['Apache Indians'],6.0
1960.0,['Biography & Autobiography'],8.0
1960.0,['Drama'],4.0
1960.0,"['Fantasy fiction, American']",6.0
1960.0,['Fiction'],6.545454545454546
1960.0,['France'],8.0
1960.0,['Great White Brotherhood'],8.0
1960.0,['History'],10.0
1960.0,['Juvenile Fiction'],8.833333333333334
1960.0,['Literary Criticism'],9.5
1960.0,['Religion'],6.0
1960.0,['Science'],6.0
1960.0,['Study Aids'],8.0
1961.0,['Aeneas (Legendary character)'],2.0
1961.0,['Alexandria (Egypt)'],7.0
1961.0,['Animals'],10.0
1961.0,['Art'],8.0
1961.0,['Artificial intelligence'],5.666666666666667
1961.0,['Bildungsromans'],2.0
1961.0,['Biography & Autobiography'],3.5
1961.0,['Canada'],5.0
1961.0,['Cooking'],2.0
1961.0,['Domestic fiction'],10.0
1961.0,['Drama'],9.0
1961.0,['Emperors'],9.0
1961.0,['England'],7.2
1961.0,['Fathers and sons'],8.0
1961.0,['Fiction'],8.125
1961.0,['Foreign Language Study'],10.0
1961.0,['JUVENILE FICTION'],7.0
1961.0,['Juvenile Fiction'],9.08
1961.0,['Literary Criticism'],10.0
1961.0,['Nature'],6.0
1961.0,['Oglala Indians'],4.0
1961.0,['Poetry'],9.0
1961.0,['Relativity (Physics)'],8.0
1961.0,['Religion and science'],9.0
1961.0,['Science fiction'],1.0
1961.0,['Science'],7.0
1961.0,['Travel'],8.0
1962.0,['Athens (Greece)'],10.0
1962.0,"['Authors, American']",5.0
1962.0,['Bhagavadgita'],7.2
1962.0,['British Columbia'],2.0
1962.0,"['Bumppo, Natty (Fictitious character)']",8.0
1962.0,['Drama'],8.5
1962.0,['Fiction'],7.0
1962.0,['Foreign Language Study'],9.0
1962.0,['German literature'],8.0
1962.0,['India'],10.0
1962.0,['Ireland'],6.0
1962.0,['Juvenile Fiction'],7.533333333333333
1962.0,['Literary Criticism'],10.0
1962.0,['Philosophy'],6.8
1962.0,"['Poetry, Modern']",7.0
1962.0,['Religion'],6.0
1962.0,['Science'],9.0
1962.0,['Shells'],10.0
1963.0,['African Americans'],10.0
1963.0,['Amsterdam (Netherlands)'],8.0
1963.0,['Arson'],8.0
1963.0,['Art'],6.666666666666667
1963.0,['Australia'],8.75
1963.0,['Drama'],8.2
1963.0,['Fiction in English'],8.2
1963.0,['Fiction'],8.818181818181818
1963.0,['History'],6.333333333333333
1963.0,['Juvenile Fiction'],8.166666666666666
1963.0,['Juvenile Nonfiction'],8.266666666666667
1963.0,['Literary Criticism'],10.0
1963.0,['Mexican fiction'],4.0
1963.0,['Oregon National Historic Trail'],7.0
1963.0,['Political Science'],10.0
1963.0,['Presidents'],9.0
1963.0,['Religion'],9.0
1963.0,['Social Science'],2.0
1964.0,['Architecture'],9.0
1964.0,['Art'],8.5
1964.0,"['Authors, English']",2.0
1964.0,['Biography & Autobiography'],9.0
1964.0,['Burial'],10.0
1964.0,"['Civilization, Western']",7.5
1964.0,['Clothing and dress'],10.0
1964.0,['Conduct of life'],8.75
1964.0,['Curiosities and wonders.'],6.0
1964.0,['Drama'],6.0
1964.0,['Dramatists'],10.0
1964.0,['Fables'],9.0
1964.0,['Fiction'],8.2
1964.0,['History'],7.0
1964.0,['Juvenile Fiction'],9.347826086956522
1964.0,['Juvenile Nonfiction'],10.0
1964.0,['Literary Collections'],7.333333333333333
1964.0,['Literary Criticism'],9.0
1964.0,['Religion'],8.0
1964.0,['Travel'],4.0
1964.0,['Women'],3.0
1965.0,['Adulteresses'],7.161290322580645
1965.0,['Algeria'],7.0
1965.0,"['Body, Mind & Spirit']",4.0
1965.0,['Boys'],7.0
1965.0,['Business & Economics'],4.0
1965.0,['Church history'],9.0
1965.0,['College teachers'],8.5
1965.0,['Drama'],5.4
1965.0,['English fiction'],7.0
1965.0,['Fiction'],7.194444444444445
1965.0,['History'],5.25
1965.0,['Juvenile Fiction'],8.875
1965.0,['Juvenile Nonfiction'],7.0
1965.0,"['Lincoln-Douglas debates, 1858']",9.0
1965.0,['Literary Collections'],9.0
1965.0,['Literary Criticism'],9.0
1965.0,['Literature'],3.0
1965.0,['People with mental disabilities'],8.5
1965.0,['Poetry'],9.0
1965.0,['Watercolor painting'],10.0
1966.0,['Adventure stories'],4.5
1966.0,['American drama (Comedy)'],3.0
1966.0,['Animated films'],9.333333333333334
1966.0,"['Authors, English']",4.0
1966.0,['Biography & Autobiography'],6.75
1966.0,['Boys'],5.5
1966.0,['Business & Economics'],10.0
1966.0,['Canadian fiction'],9.0
1966.0,['Canon (Literarature)'],7.909090909090909
1966.0,['Caucasus'],8.0
1966.0,['Cornwall (England : County)'],3.0
1966.0,['Detective and mystery stories'],7.75
1966.0,['Drama'],9.5
1966.0,['Families'],9.0
1966.0,['Fiction'],7.157894736842105
1966.0,['Foreign Language Study'],9.0
1966.0,['History'],7.5
1966.0,['Juvenile Fiction'],7.25
1966.0,['Literary Collections'],8.0
1966.0,['Literary Criticism'],8.5
1966.0,['Philosophy'],8.285714285714286
1966.0,['Short stories'],9.0
1966.0,['Travel'],9.0
1967.0,['Adultery'],10.0
1967.0,"['Ahab, Captain (Fictitious character)']",6.0
1967.0,['Amsterdam (Netherlands)'],10.0
1967.0,['Art'],9.0
1967.0,['Arthurian romances'],6.5
1967.0,['Bible'],8.0
1967.0,['Bilingual books'],10.0
1967.0,['Biography & Autobiography'],8.0
1967.0,['Bobbsey Twins (Fictitious characters)'],10.0
1967.0,['Chinese language'],2.0
1967.0,['Crafts & Hobbies'],6.0
1967.0,['Drama'],7.0
1967.0,['Families'],2.0
1967.0,['Fiction'],6.333333333333333
1967.0,['Gangs'],4.0
1967.0,['History'],8.333333333333334
1967.0,['Juvenile Fiction'],6.6
1967.0,['Juvenile Nonfiction'],1.0
1967.0,['Literary Collections'],9.0
1967.0,['Philosophy'],9.5
1967.0,['Poetry'],10.0
1967.0,['Psychology'],8.0
1967.0,['Reference'],7.0
1967.0,['Science'],9.5
1967.0,['Self-Help'],7.0
1967.0,['Social Science'],2.0
1967.0,['Technology & Engineering'],8.0
1967.0,['Travel'],4.0
1968.0,['Adventure stories'],2.0
1968.0,['American poetry'],2.0
1968.0,['Argentine literature'],7.5
1968.0,['Art'],6.0
1968.0,['Aunts'],10.0
1968.0,['Business & Economics'],10.0
1968.0,['Canadian literature'],9.0
1968.0,['Christmas'],7.0
1968.0,['Collaborative novels'],7.0
1968.0,['Cooking'],8.0
1968.0,['Domestic fiction'],7.0
1968.0,['Drama'],8.0
1968.0,['Fiction'],7.4
1968.0,['Heiresses'],8.5
1968.0,['History'],7.666666666666667
1968.0,['Horses'],8.0
1968.0,['House & Home'],7.5
1968.0,['Humor'],8.0
1968.0,['Hypothesis'],2.0
1968.0,['Juvenile Fiction'],8.431372549019608
1968.0,['Literary Criticism'],4.5
1968.0,['Mollusks'],7.0
1968.0,['Philosophy'],7.666666666666667
1968.0,['Poetry'],6.666666666666667
1968.0,['Religion'],8.0
1968.0,['Robots'],9.0
1968.0,['Study Aids'],7.0
1969.0,['Adultery'],4.857142857142857
1969.0,['American fiction'],9.0
1969.0,['Animal behavior'],5.0
1969.0,['Appaloosa horse'],2.0
1969.0,['Art'],6.0
1969.0,['Bildungsromans'],8.0
1969.0,['Biography & Autobiography'],6.8
1969.0,['Bonn (Germany)'],8.0
1969.0,['Braille'],5.666666666666667
1969.0,['Canada'],6.0
1969.0,['Children of physicians'],4.0
1969.0,['China'],2.0
1969.0,['Classic'],8.2
1969.0,['Communication'],5.5
1969.0,['Cooking'],7.0
1969.0,['Courts and courtiers in literature'],10.0
1969.0,['Design'],1.0
1969.0,['Drama'],9.0
1969.0,['England'],7.0
1969.0,['Fiction'],7.15
1969.0,['Foreign Language Study'],9.5
1969.0,['French poetry'],3.0
1969.0,['Frontier and pioneer life'],3.0
1969.0,['Games'],9.0
1969.0,['Health & Fitness'],5.0
1969.0,['History'],5.0
1969.0,['House & Home'],8.0
1969.0,['Juvenile Fiction'],7.275
1969.0,['Juvenile Nonfiction'],9.0
1969.0,['Literary Collections'],10.0
1969.0,['Literary Criticism'],8.0
1969.0,['Marijuana.'],2.0
1969.0,['Philosophy'],5.0
1969.0,['Political Science'],3.5
1969.0,['Social Science'],9.666666666666666
1970.0,['Adventure stories'],3.0
1970.0,"['Africa, West']",8.0
1970.0,['African Americans'],6.5
1970.0,['American drama'],7.0
1970.0,['American poetry'],6.5
1970.0,['Animals'],7.5
1970.0,['Art'],8.5
1970.0,['Artists'],2.0
1970.0,['Bible stories'],5.0
1970.0,['Biography & Autobiography'],7.8
1970.0,['Blind'],8.857142857142858
1970.0,"['Bovary, Charles (Fictitious character)']",7.714285714285714
1970.0,['Business & Economics'],2.0
1970.0,['Canadian fiction'],1.0
1970.0,['Chinese poetry'],10.0
1970.0,['Classic'],8.333333333333334
1970.0,['Colombian fiction'],8.705882352941176
1970.0,['Country life'],9.0
1970.0,['Crafts & Hobbies'],4.0
1970.0,['Culture'],7.5
1970.0,['Drama'],5.0
1970.0,['Egypt'],9.0
1970.0,['England'],8.347826086956522
1970.0,['Fantasy'],8.107142857142858
1970.0,['Fiction'],6.466666666666667
1970.0,['Games'],7.0
1970.0,['German fiction'],6.333333333333333
1970.0,['History'],9.0
1970.0,['Islam'],3.0
1970.0,['Juvenile Fiction'],8.11111111111111
1970.0,['Literary Collections'],5.666666666666667
1970.0,['Literary Criticism'],3.0
1970.0,['Man-woman relationships'],8.777777777777779
1970.0,['Music'],6.5
1970.0,['Negotiation'],6.0
1970.0,['Nonsense verses'],10.0
1970.0,['Philosophy'],8.0
1970.0,['Poetry'],10.0
1970.0,['Radicalism'],10.0
1970.0,['Reference'],8.0
1970.0,['Religion'],6.8
1970.0,['Schottland'],9.0
1970.0,['Social Science'],8.5
1971.0,"[""Children's literature""]",7.0
1971.0,"[""Children's parties""]",9.0
1971.0,"[""Children's poetry""]",1.0
1971.0,"[""Children's stories""]",9.0
1971.0,['Accountants'],7.0
1971.0,['African American authors'],9.333333333333334
1971.0,['African Americans'],9.0
1971.0,['American fiction'],4.0
1971.0,['Antiques & Collectibles'],10.0
1971.0,['Antisemitism'],6.0
1971.0,['Art'],8.0
1971.0,['Biography & Autobiography'],7.75
1971.0,['Biological Rhythms'],7.0
1971.0,['Birthday parties'],9.0
1971.0,"['Body, Mind & Spirit']",8.2
1971.0,['British'],8.0
1971.0,['Business & Economics'],7.0
1971.0,"['Christmas stories, English']",5.0
1971.0,['Detective and mystery stories'],8.0
1971.0,['Devotional literature'],1.0
1971.0,['English poetry'],9.0
1971.0,"['Epic poetry, Greek']",9.6
1971.0,"['Falstaff, John, Sir (Fictitious character)']",8.0
1971.0,['Fantasy.'],10.0
1971.0,['Farm life'],7.0
1971.0,['Fiction'],7.428571428571429
1971.0,['Foreign Language Study'],3.0
1971.0,['Friendship'],4.0
1971.0,['Games & Activities'],9.0
1971.0,['German language'],8.0
1971.0,['Germany'],6.0
1971.0,['Greece'],7.0
1971.0,"['Gulliver, Lemuel (Fictitious character)']",8.0
1971.0,['History'],5.666666666666667
1971.0,"['Humorous stories, Canadian']",10.0
1971.0,['Israel'],7.0
1971.0,['Juvenile Fiction'],7.897058823529412
