year_of_publication,category,isbn
1378.0,['Fantasy fiction'],1
1911.0,['Religion'],1
1920.0,['Elephants'],1
1920.0,['Folklore'],2
1920.0,['France'],2
1920.0,['United States'],1
1923.0,['Behavior'],1
1923.0,['Friendship'],1
1923.0,['Juvenile Fiction'],3
1924.0,['Science'],1
1925.0,['Fiction'],3
1926.0,['American fiction'],2
1928.0,['England'],1
1929.0,['Fiction'],6
1930.0,['Hardy Boys (Fictitious characters)'],3
1930.0,['Juvenile Fiction'],18
1931.0,['Drama'],1
1932.0,['Juvenile Fiction'],4
1932.0,['Political Science'],1
1935.0,['Religion'],1
1936.0,['American drama'],1
1936.0,['Fiction'],3
1936.0,['Juvenile Fiction'],1
1937.0,['Juvenile Fiction'],1
1938.0,['Audiocassettes'],1
1938.0,['Fiction'],1
1938.0,['Juvenile Fiction'],5
1938.0,['Performing Arts'],1
1939.0,['American fiction (Fictional works by one author).'],1
1939.0,['Juvenile Fiction'],1
1940.0,['Adventure and adventurers'],2
1940.0,['Art'],1
1940.0,['Fairy tales'],1
1940.0,['Fiction'],1
1940.0,['Twins'],1
1941.0,['Curiosity'],1
1941.0,['Juvenile Fiction'],1
1942.0,['History'],1
1942.0,['Juvenile Fiction'],1
1943.0,['Germany'],1
1943.0,['Juvenile Fiction'],3
1944.0,['Fiction'],1
1945.0,['Juvenile Fiction'],2
1946.0,['Adolescence'],1
1946.0,['Adventure stories'],2
1946.0,"['Christian fiction, American']",1
1946.0,['Juvenile Fiction'],6
1947.0,['Juvenile Fiction'],2
1949.0,['American poetry'],1
1949.0,['Juvenile Fiction'],4
1949.0,['Religion'],1
1950.0,['Adventure stories'],1
1950.0,['Africa'],1
1950.0,['Alphabet'],1
1950.0,['Drama'],1
1950.0,['Fiction'],4
1950.0,['Philosophy'],1
1950.0,['Switzerland'],2
1951.0,['Classical literature'],1
1951.0,['Fiction'],6
1951.0,['Foreign Language Study'],2
1951.0,['Juvenile Fiction'],2
1951.0,['Philosophy'],2
1952.0,['Fiction'],1
1952.0,['Foreign Language Study'],1
1952.0,['History'],1
1952.0,['Juvenile Fiction'],1
1952.0,['Oxford (England)'],1
1953.0,['Animals'],1
1953.0,['Biography & Autobiography'],1
1953.0,['Brothers and sisters'],1
1953.0,['Drama'],4
1953.0,['Families'],1
1953.0,['Fiction'],1
1953.0,['France'],1
1953.0,['Juvenile Fiction'],114
1953.0,['Language Arts & Disciplines'],1
1954.0,['African American women cooks'],5
1954.0,['Biography & Autobiography'],1
1954.0,['Coal miner'],3
1954.0,['Drama'],2
1954.0,['Fiction'],1
1954.0,['Games'],2
1954.0,['History'],2
1954.0,['Juvenile Fiction'],1
1955.0,['Acting'],1
1955.0,['Aids to navigation'],1
1955.0,['Biography & Autobiography'],1
1955.0,"['Cookery, Japanese']",1
1955.0,['Drama'],1
1955.0,"['Fables, Latin']",2
1955.0,['Fiction'],3
1955.0,['Juvenile Fiction'],6
1955.0,['Medical'],1
1955.0,['Philosophy'],1
1955.0,['Poetry'],4
1955.0,['Religion'],1
1955.0,['Science'],1
1956.0,"['Aesthetics, Modern']",1
1956.0,['Animals-Cats'],1
1956.0,['Architecture'],1
1956.0,['Domestic animals'],1
1956.0,['Fiction'],4
1956.0,['Juvenile Fiction'],1
1956.0,['Liberty'],1
1956.0,['Literary Criticism'],1
1956.0,['Philosophy'],1
1956.0,['Poetry'],4
1956.0,['Teenagers'],1
1957.0,['Castaways'],1
1957.0,['Fiction'],2
1957.0,['Juvenile Fiction'],33
1957.0,['Literary Criticism'],1
1957.0,['Nature'],3
1957.0,['Performing Arts'],1
1957.0,['Philosophy'],3
1957.0,['Poetry'],5
1957.0,['Science'],3
1958.0,['American fiction'],1
1958.0,['Amsterdam (Netherlands)'],1
1958.0,"['Authors, German']",1
1958.0,['China'],2
1958.0,['Economics'],1
1958.0,['Fiction'],6
1958.0,['Greek poetry'],1
1958.0,['Inheritance and succession'],1
1958.0,['Juvenile Fiction'],14
1958.0,['Literary Collections'],1
1958.0,['Social Science'],1
1959.0,"[""Children's art""]",1
1959.0,['Achievement motivation'],1
1959.0,['Adultery'],1
1959.0,['Deafblind people'],1
1959.0,['Drama'],3
1959.0,['Experimental fiction'],2
1959.0,['Father and child'],1
1959.0,['Fiction'],99
1959.0,['Foreign Language Study'],1
1959.0,['History'],1
1959.0,['Humor'],2
1959.0,['Juvenile Fiction'],3
1959.0,"['Knowledge, Theory of']",1
1959.0,['Literary Collections'],1
1959.0,['Literary Criticism'],1
1959.0,"['Mythology, Greek']",1
1959.0,['Philosophy'],1
1959.0,['Poetry'],11
1959.0,['Psychology'],2
1959.0,['Religion'],2
1959.0,['Science'],1
1960.0,"[""Children's literature""]",1
1960.0,['Apache Indians'],1
1960.0,['Biography & Autobiography'],4
1960.0,['Drama'],1
1960.0,"['Fantasy fiction, American']",1
1960.0,['Fiction'],11
1960.0,['France'],2
1960.0,['Great White Brotherhood'],1
1960.0,['History'],2
1960.0,['Juvenile Fiction'],30
1960.0,['Literary Criticism'],2
1960.0,['Religion'],2
1960.0,['Science'],1
1960.0,['Study Aids'],1
1961.0,['Aeneas (Legendary character)'],1
1961.0,['Alexandria (Egypt)'],1
1961.0,['Animals'],2
1961.0,['Art'],1
1961.0,['Artificial intelligence'],3
1961.0,['Bildungsromans'],1
1961.0,['Biography & Autobiography'],2
1961.0,['Canada'],1
1961.0,['Cooking'],1
1961.0,['Domestic fiction'],1
1961.0,['Drama'],1
1961.0,['Emperors'],1
1961.0,['England'],5
1961.0,['Fathers and sons'],1
1961.0,['Fiction'],8
1961.0,['Foreign Language Study'],1
1961.0,['JUVENILE FICTION'],1
1961.0,['Juvenile Fiction'],25
1961.0,['Literary Criticism'],1
1961.0,['Nature'],1
1961.0,['Oglala Indians'],1
1961.0,['Poetry'],2
1961.0,['Relativity (Physics)'],1
1961.0,['Religion and science'],1
1961.0,['Science fiction'],1
1961.0,['Science'],1
1961.0,['Travel'],2
1962.0,['Athens (Greece)'],1
1962.0,"['Authors, American']",1
1962.0,['Bhagavadgita'],5
1962.0,['British Columbia'],1
1962.0,"['Bumppo, Natty (Fictitious character)']",1
1962.0,['Drama'],4
1962.0,['Fiction'],4
1962.0,['Foreign Language Study'],1
1962.0,['German literature'],1
1962.0,['India'],1
1962.0,['Ireland'],1
1962.0,['Juvenile Fiction'],15
1962.0,['Literary Criticism'],2
1962.0,['Philosophy'],5
1962.0,"['Poetry, Modern']",1
1962.0,['Religion'],1
1962.0,['Science'],1
1962.0,['Shells'],1
1963.0,['African Americans'],1
1963.0,['Amsterdam (Netherlands)'],3
1963.0,['Arson'],1
1963.0,['Art'],3
1963.0,['Australia'],4
1963.0,['Drama'],5
1963.0,['Fiction in English'],5
1963.0,['Fiction'],11
1963.0,['History'],3
1963.0,['Juvenile Fiction'],6
1963.0,['Juvenile Nonfiction'],15
1963.0,['Literary Criticism'],1
1963.0,['Mexican fiction'],1
1963.0,['Oregon National Historic Trail'],1
1963.0,['Political Science'],1
1963.0,['Presidents'],1
1963.0,['Religion'],1
1963.0,['Social Science'],1
1964.0,['Architecture'],1
1964.0,['Art'],2
1964.0,"['Authors, English']",1
1964.0,['Biography & Autobiography'],1
1964.0,['Burial'],1
1964.0,"['Civilization, Western']",2
1964.0,['Clothing and dress'],1
1964.0,['Conduct of life'],4
1964.0,['Curiosities and wonders.'],1
1964.0,['Drama'],3
1964.0,['Dramatists'],1
1964.0,['Fables'],1
1964.0,['Fiction'],10
1964.0,['History'],1
1964.0,['Juvenile Fiction'],23
1964.0,['Juvenile Nonfiction'],2
1964.0,['Literary Collections'],3
1964.0,['Literary Criticism'],1
1964.0,['Religion'],1
1964.0,['Travel'],2
1964.0,['Women'],1
1965.0,['Adulteresses'],31
1965.0,['Algeria'],1
1965.0,"['Body, Mind & Spirit']",2
1965.0,['Boys'],2
1965.0,['Business & Economics'],1
1965.0,['Church history'],1
1965.0,['College teachers'],2
1965.0,['Drama'],5
1965.0,['English fiction'],1
1965.0,['Fiction'],36
1965.0,['History'],4
1965.0,['Juvenile Fiction'],8
1965.0,['Juvenile Nonfiction'],1
1965.0,"['Lincoln-Douglas debates, 1858']",1
1965.0,['Literary Collections'],2
1965.0,['Literary Criticism'],1
1965.0,['Literature'],1
1965.0,['People with mental disabilities'],2
1965.0,['Poetry'],1
1965.0,['Watercolor painting'],1
1966.0,['Adventure stories'],2
1966.0,['American drama (Comedy)'],1
1966.0,['Animated films'],3
1966.0,"['Authors, English']",1
1966.0,['Biography & Autobiography'],4
1966.0,['Boys'],2
1966.0,['Business & Economics'],1
1966.0,['Canadian fiction'],1
1966.0,['Canon (Literarature)'],11
1966.0,['Caucasus'],2
1966.0,['Cornwall (England : County)'],1
1966.0,['Detective and mystery stories'],8
1966.0,['Drama'],2
1966.0,['Families'],1
1966.0,['Fiction'],19
1966.0,['Foreign Language Study'],1
1966.0,['History'],2
1966.0,['Juvenile Fiction'],8
1966.0,['Literary Collections'],2
1966.0,['Literary Criticism'],4
